"run_key","run_label","slice","cases","correct","losses","accuracy","mean_total_tokens","mean_seconds","tokens_per_correct"
"frozen","Frozen pruned","Q1-Q5","5","5","0","1.0","705054","165.388","705054.0"
"frozen","Frozen pruned","Q6-Q10","5","3","2","0.6","709823.6","180.373","1183039.3"
"frozen","Frozen pruned","Q11-Q15","5","0","5","0.0","717360","200.761",""
"frozen","Frozen pruned","Q16-Q20","5","2","3","0.4","707411","172.089","1768527.5"
"frozen","Frozen pruned","Q21-Q25","5","4","1","0.8","711664.8","184.623","889581.0"
"frozen","Frozen pruned","Q26-Q30","5","1","4","0.2","715288.8","194.652","3576444.0"
"frozen","Frozen pruned","Q1-Q30","30","15","15","0.5","711100.4","182.981","1422200.7"
