"run_key","run_label","slice","cases","correct","losses","accuracy","mean_total_tokens","mean_seconds","tokens_per_correct"
"current","Apr27 current 0.2.3","Q1-Q5","5","4","1","0.8","105312.4","250.548","131640.5"
"current","Apr27 current 0.2.3","Q6-Q10","5","3","2","0.6","125234","328.867","208723.3"
"current","Apr27 current 0.2.3","Q11-Q15","5","4","1","0.8","142504.8","393.491","178131.0"
"current","Apr27 current 0.2.3","Q16-Q20","5","4","1","0.8","125639.2","323.177","157049.0"
"current","Apr27 current 0.2.3","Q21-Q25","5","4","1","0.8","131015.8","355.427","163769.8"
"current","Apr27 current 0.2.3","Q26-Q30","5","2","3","0.4","142041.8","409.935","355104.5"
"current","Apr27 current 0.2.3","Q1-Q30","30","21","9","0.7","128624.7","343.574","183749.5"
