"run_key","run_label","slice","cases","correct","losses","accuracy","mean_total_tokens","mean_seconds","tokens_per_correct"
"unrestricted","Unrestricted","Q1-Q5","5","5","0","1.0","1045881.6","250.739","1045881.6"
"unrestricted","Unrestricted","Q6-Q10","5","3","2","0.6","1116613.8","342.494","1861023.0"
"unrestricted","Unrestricted","Q11-Q15","5","2","3","0.4","1155106","417.869","2887765.0"
"unrestricted","Unrestricted","Q16-Q20","5","4","1","0.8","1117573.6","388.871","1396967.0"
"unrestricted","Unrestricted","Q21-Q25","5","5","0","1.0","1161708.2","428.496","1161708.2"
"unrestricted","Unrestricted","Q26-Q30","5","3","2","0.6","1155820.2","453.876","1926367.0"
"unrestricted","Unrestricted","Q1-Q30","30","22","8","0.7333","1125450.6","380.391","1534705.3"
