run_key,run_label,run_short_label,claim_class,cases,correct,accuracy,mean_total_tokens,total_logged_tokens,mean_wall_seconds,total_wall_seconds,logged_tokens_per_second,seconds_per_million_logged_tokens,cost_per_million_per_gpu_dollar_hour,formula
frozen,Artifact 01 frozen pruned,Frozen,blind/pruned baseline,30,15,0.500000,711100.400000,21333011,182.981000,5489.428000,3886.199254,257.320825,0.071478,cost_per_million_logged_tokens = coefficient * GPU_equivalent_workers * dollars_per_GPU_hour
unrestricted,Artifact 02 unrestricted,Unrestricted,high-budget reference,30,22,0.733333,1125450.600000,33763517,380.391000,11411.722000,2958.669778,337.989730,0.093886,cost_per_million_logged_tokens = coefficient * GPU_equivalent_workers * dollars_per_GPU_hour
current,Artifact 03 Apr27 benchmarkgrade,Apr27 benchmark,compact benchmarkgrade,30,21,0.700000,128624.700000,3858740,343.574000,10307.226000,374.372309,2671.137729,0.741983,cost_per_million_logged_tokens = coefficient * GPU_equivalent_workers * dollars_per_GPU_hour
official,Artifact 04 Apr28 RAB v33,Apr28 RAB v33,Runtime-at-Boot negative diagnostic,30,17,0.566667,134445.900000,4033378,385.236000,11557.076000,348.996407,2865.359012,0.795933,cost_per_million_logged_tokens = coefficient * GPU_equivalent_workers * dollars_per_GPU_hour
v34,Artifact 06 V34 answer-aware replay,V34 answer-aware,answer-aware context-recall replay,30,29,0.966667,4354926.600000,130647799,1428.362000,42850.851000,3048.896252,327.987546,0.091108,cost_per_million_logged_tokens = coefficient * GPU_equivalent_workers * dollars_per_GPU_hour
